id,file_name,page_start,page_end,current_section_number,detected_body_heading,mismatch_type,first_40_words_sanitized,contains_group_m,contains_1115,contains_12000,contains_903,contains_907,recommended_action,proposed_section_number,confidence,reviewer_notes
8,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,11,31,102.4,,no_detectable_heading,"Chapter 1 Scope and Administration Chapter 1 establishes the limits of applicability of the code and describes how the code is to be applied and enforced. Chapter 1 is in two parts, Part 1— Scope and Application (Sections 101-102) and",1,,,,,do_not_touch,,,
9,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,11,31,,,no_detectable_heading_and_no_label,"Where the provisions of the code address uses differently, moving from one activity to another or from one level of activity to another is, by definition, a change of occupancy. The new occupancy must be in compliance with the applicable",1,,,,,do_not_touch,,,
15,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,12,14,406.5.4,,no_detectable_heading,"Chapter 4 Special Detailed Requirements Based on Occupancy and Use Chapter 4 contains the requirements for protecting special uses and occupancies, which are supplemental to the remainder of the code. Chapter 4 contains provisions that may alter requirements found elsewhere",1,,,,,do_not_touch,,,
22,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,17,33,,,no_detectable_heading_and_no_label,"Appendix C Group U—Agricultural Buildings Appendix C provides a more liberal set of standards for the construction of agricultural buildings, rather than strictly following the utility building provision, reflective of their specific usage and limited occupant load. The provisions of",1,,,,,do_not_touch,,,
23,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,17,33,415.9.3,,no_detectable_heading,"Appendix M Tsunami-Generated Flood Hazards Addressing a tsunami risk for all types of construction in a tsunami hazard zone through building code requirements would typically not be cost effective, making tsunami-resistant construction impractical at an individual building level. However, this",,,,,,split_chunk_candidate,,,
24,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,17,33,105.5,102.6.2,suspicious_cross_chapter_label,❖ This section applies to any building that may have been completed but not occupied or used for its original intended purpose. The building remains a new structure in terms of code compliance until such time as it is occupied,,,,,,split_chunk_candidate,,,
26,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,22,22,,,no_detectable_heading_and_no_label,TABLE OF CONTENTS SBC 201-CC-2024 xv SECTION 803 WALL AND CEILING FINISHES ...................................................................................................................... 796 SECTION 804 INTERIOR FLOOR FINISH.............................................................................................................................. 803 SECTION 805 COMBUSTIBLE MATERIALS IN TYPES I AND II CONSTRUCTION ................................................................... 805 SECTION 806 DECORATIVE MATERIALS AND TRIM ................................................,,1,,,,do_not_touch,,,
36,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,34,50,104.10,104.2,body_heading_differs_from_section_number,"❖ The duty of the building official is to enforce the code, and he or she is the “authority having jurisdiction” for all matters relating to the code and its enforcement. It is the duty of the building official to",,,,,,split_chunk_candidate,,,
37,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,34,50,110.3.10,110.3.1,body_heading_differs_from_section_number,❖ The building official is required to verify that the building is constructed in accordance with the approved construction documents. It is the responsibility of the permit holder to notify the building official when the item is ready for inspection.,,,,,,split_chunk_candidate,,,
39,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,35,53,110.3,,no_detectable_heading,❖ The first part of this section establishes the right of the building official to enter the premises in order to make permit inspections required by Section 110.3 . Permit application forms typically include a statement in the certification signed,,,,,,split_chunk_candidate,,,
41,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,35,53,105.3.1,,no_detectable_heading,"❖ The code is not intended to inhibit innovative ideas or technological advances. A comprehensive regulatory document, such as a building code, cannot envision and then address all future innovations in the industry. As a result, a performance code must",,,,,,split_chunk_candidate,,,
45,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,38,41,101.4,,no_detectable_heading,"In general, a permit is required for all activities that are regulated by the code or its referenced codes (see Section 101.4 ), and these activities cannot begin until the permit is issued, unless the activity is specifically exempted by",,,,,,split_chunk_candidate,,,
47,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,38,41,105.1,,no_detectable_heading,"1 The stopping of leaks in drains, water, soil, waste or vent pipe, provided, however, that if any concealed trap, drainpipe, water, soil, waste or vent pipe becomes defective and it becomes necessary to remove and replace the same with",,,,,,split_chunk_candidate,,,
49,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,42,42,105.4,,no_detectable_heading,"CHAPTER 1—SCOPE AND APPLICABILITY OF THE GENERAL SAUDI BUILDING CODE SBC 201-CC-2024 14 shall be requested in writing and justifiable cause demonstrated. ❖ Typically, an application for a permit is submitted and goes through a review process that ends with",,,,,,split_chunk_candidate,,,
51,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,43,44,1607.1,106.2,suspicious_cross_chapter_label,"CHAPTER 1—SCOPE AND APPLICABILITY OF THE GENERAL SAUDI BUILDING CODE SBC 201-CC-2024 15 loads specified in Table 1607.1 exceed 2.50 kN/m2. Where part of the floor is designed for 2.50 kN/m2 or less and part for more than 2.50 kN/m2,",,,,,,split_chunk_candidate,,,
54,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,45,46,107.2.5,,no_detectable_heading,"CHAPTER 1—SCOPE AND APPLICABILITY OF THE GENERAL SAUDI BUILDING CODE SBC 201-CC-2024 17 exterior wall envelope in sufficient detail to determine compliance with this code. The construction documents shall provide details of the exterior wall envelope as required, including flashing,",,,,,,split_chunk_candidate,,,
55,SBC 201 - The Saudi General Building Code-1-250_extracted_chunks.json,45,46,105.3.1,107.3.1,suspicious_cross_chapter_label,❖ The requirements of this section are related to those found in Section 105.3.1 regarding the action of the building official in response to a permit application. The building official can delegate review of the construction documents to subordinates as,,,,,,split_chunk_candidate,,,
